frame,result
3.0,0
4.0,7
5.0,7
6.0,7
7.0,7
8.0,7
9.0,7
10.0,7
11.0,7
12.0,7
13.0,7
14.0,7
15.0,7
16.0,7
17.0,2
18.0,2
19.0,0
20.0,0
21.0,2
22.0,0
23.0,7
24.0,7
25.0,7
26.0,7
27.0,7
28.0,7
29.0,7
30.0,7
31.0,7
32.0,1
33.0,1
34.0,7
35.0,1
36.0,1
37.0,7
38.0,7
39.0,7
40.0,7
41.0,7
42.0,7
43.0,7
44.0,7
45.0,7
46.0,7
47.0,7
48.0,7
49.0,0
50.0,7
51.0,7
52.0,7
53.0,7
54.0,1
55.0,7
56.0,7
57.0,7
58.0,7
59.0,7
60.0,1
61.0,7
62.0,7
63.0,7
64.0,7
65.0,4
66.0,7
67.0,7
68.0,7
69.0,7
70.0,7
71.0,7
72.0,7
73.0,7
74.0,7
75.0,7
76.0,7
77.0,7
78.0,7
79.0,7
80.0,7
81.0,7
82.0,7
83.0,7
84.0,2
85.0,2
86.0,2
87.0,2
88.0,2
89.0,7
90.0,7
91.0,7
92.0,7
93.0,7
94.0,7
95.0,7
96.0,0
97.0,0
98.0,7
99.0,7
100.0,7
101.0,7
102.0,7
103.0,0
104.0,7
105.0,0
106.0,7
107.0,7
108.0,7
109.0,7
110.0,0
111.0,0
112.0,7
113.0,0
114.0,0
115.0,7
116.0,0
117.0,7
118.0,7
119.0,0
120.0,0
121.0,7
122.0,7
123.0,7
124.0,7
125.0,7
126.0,7
127.0,7
128.0,7
129.0,7
130.0,7
131.0,7
132.0,7
133.0,7
134.0,7
135.0,7
136.0,7
137.0,7
138.0,7
139.0,0
140.0,7
141.0,0
142.0,7
143.0,7
144.0,7
145.0,7
146.0,7
147.0,7
148.0,7
149.0,7
150.0,7
151.0,0
152.0,0
153.0,0
154.0,7
155.0,7
156.0,7
157.0,7
158.0,7
159.0,7
160.0,7
161.0,7
162.0,7
163.0,4
164.0,4
165.0,4
166.0,4
167.0,0
168.0,7
169.0,4
170.0,4
171.0,7
172.0,4
173.0,1
174.0,1
175.0,1
176.0,1
177.0,1
178.0,1
179.0,1
180.0,4
181.0,1
182.0,7
183.0,7
184.0,1
185.0,1
186.0,7
187.0,7
188.0,7
189.0,7
190.0,7
191.0,7
192.0,7
193.0,7
194.0,7
195.0,7
196.0,7
197.0,7
198.0,7
199.0,7
200.0,0
201.0,7
202.0,7
203.0,7
204.0,7
205.0,7
206.0,7
207.0,7
208.0,7
209.0,7
210.0,7
211.0,7
212.0,7
213.0,7
214.0,7
215.0,7
216.0,7
217.0,7
218.0,7
219.0,7
220.0,7
221.0,7
222.0,7
223.0,7
224.0,7
225.0,7
226.0,7
227.0,7
228.0,0
229.0,7
230.0,7
231.0,1
232.0,7
233.0,1
234.0,7
235.0,7
236.0,7
237.0,7
238.0,7
239.0,7
240.0,0
241.0,7
242.0,7
243.0,7
244.0,7
245.0,7
246.0,7
247.0,7
248.0,7
249.0,7
250.0,4
251.0,7
252.0,7
253.0,0
254.0,7
255.0,7
256.0,0
257.0,7
258.0,7
259.0,7
260.0,7
261.0,7
262.0,7
263.0,0
264.0,0
265.0,0
266.0,0
267.0,7
268.0,2
269.0,0
270.0,2
271.0,7
272.0,7
273.0,7
274.0,7
275.0,7
276.0,7
277.0,7
278.0,7
279.0,7
280.0,7
281.0,7
282.0,7
283.0,7
284.0,7
