frame,result,valence
3,6,-1
4,6,-1
5,6,-1
6,6,-1
7,6,-1
8,6,-1
9,6,-1
10,6,-1
11,6,-1
12,6,-1
13,6,-1
14,6,-1
15,6,-1
16,6,-1
17,6,-1
18,6,-1
19,6,-1
20,6,-1
21,6,-1
22,6,-1
23,6,-1
24,6,-1
25,6,-1
26,6,-1
27,6,-1
28,6,-1
29,6,-1
30,6,-1
31,6,-1
32,6,-1
33,6,-1
34,6,-1
35,6,-1
36,6,-1
37,6,-1
38,6,-1
39,6,-1
40,6,-1
41,6,-1
42,6,-1
43,6,-1
44,6,-1
45,6,-1
46,6,-1
47,6,-1
48,6,-1
49,6,-1
50,6,-1
51,6,-1
52,6,-1
53,6,-1
54,6,-1
55,6,-1
56,6,-1
57,6,-1
58,6,-1
59,6,-1
60,6,-1
61,6,-1
62,6,-1
63,6,-1
64,6,-1
65,6,-1
66,6,-1
67,6,-1
68,6,-1
69,6,-1
70,6,-1
71,6,-1
72,6,-1
73,6,-1
74,6,-1
75,6,-1
76,6,-1
77,6,-1
78,6,-1
79,6,-1
80,6,-1
81,6,-1
82,6,-1
83,6,-1
84,6,-1
85,6,-1
86,6,-1
87,6,-1
88,6,-1
89,6,-1
90,6,-1
91,6,-1
92,6,-1
93,6,-1
94,6,-1
95,6,-1
96,6,-1
97,6,-1
98,6,-1
99,6,-1
100,6,-1
101,6,-1
102,6,-1
103,6,-1
104,6,-1
105,6,-1
106,6,-1
107,6,-1
108,6,-1
109,6,-1
110,6,-1
111,6,-1
112,6,-1
113,6,-1
114,6,-1
115,6,-1
116,6,-1
117,6,-1
118,6,-1
119,6,-1
120,6,-1
121,6,-1
122,6,-1
123,6,-1
124,6,-1
125,6,-1
126,6,-1
127,6,-1
128,6,-1
129,6,-1
130,6,-1
131,6,-1
132,6,-1
133,6,-1
134,6,-1
135,6,-1
136,6,-1
137,6,-1
138,6,-1
139,6,-1
140,6,-1
141,6,-1
142,6,-1
143,6,-1
144,6,-1
145,6,-1
146,6,-1
147,6,-1
148,6,-1
149,6,-1
150,6,-1
151,6,-1
152,6,-1
153,6,-1
154,6,-1
155,6,-1
156,6,-1
157,6,-1
158,6,-1
159,6,-1
160,6,-1
161,6,-1
162,6,-1
163,6,-1
164,6,-1
165,6,-1
166,6,-1
167,6,-1
168,6,-1
169,6,-1
170,6,-1
171,6,-1
172,6,-1
173,6,-1
174,6,-1
175,6,-1
176,6,-1
177,6,-1
178,6,-1
179,6,-1
180,6,-1
181,6,-1
182,6,-1
183,6,-1
184,6,-1
185,6,-1
186,6,-1
187,6,-1
188,6,-1
189,6,-1
190,6,-1
191,6,-1
192,6,-1
193,6,-1
194,6,-1
195,6,-1
196,6,-1
197,6,-1
198,6,-1
199,6,-1
200,6,-1
201,6,-1
202,6,-1
203,6,-1
204,6,-1
205,6,-1
206,6,-1
207,6,-1
208,6,-1
209,6,-1
210,6,-1
211,6,-1
212,6,-1
213,6,-1
214,6,-1
215,6,-1
216,6,-1
217,6,-1
218,6,-1
219,6,-1
220,6,-1
221,6,-1
222,6,-1
223,6,-1
224,6,-1
225,6,-1
226,6,-1
227,6,-1
228,6,-1
229,6,-1
230,6,-1
231,6,-1
232,6,-1
233,6,-1
234,6,-1
235,6,-1
236,6,-1
237,6,-1
238,6,-1
239,6,-1
240,6,-1
241,6,-1
242,6,-1
243,6,-1
244,6,-1
245,6,-1
246,6,-1
247,6,-1
248,6,-1
249,6,-1
250,6,-1
251,6,-1
252,6,-1
253,6,-1
254,6,-1
255,6,-1
256,6,-1
257,6,-1
258,6,-1
259,6,-1
260,6,-1
261,6,-1
262,6,-1
263,6,-1
264,6,-1
265,6,-1
266,6,-1
267,6,-1
268,6,-1
269,6,-1
270,6,-1
271,6,-1
272,6,-1
273,6,-1
274,6,-1
275,6,-1
276,6,-1
277,6,-1
278,6,-1
279,6,-1
280,6,-1
281,6,-1
282,6,-1
283,6,-1
284,6,-1
285,6,-1
286,6,-1
287,6,-1
288,6,-1
289,6,-1
290,6,-1
291,6,-1
292,6,-1
293,6,-1
294,6,-1
295,6,-1
296,6,-1
297,6,-1
298,6,-1
299,6,-1
300,6,-1
301,6,-1
302,6,-1
303,6,-1
304,6,-1
305,6,-1
306,6,-1
307,6,-1
308,6,-1
309,6,-1
310,6,-1
311,6,-1
312,6,-1
313,6,-1
314,6,-1
315,6,-1
316,6,-1
317,6,-1
318,6,-1
319,6,-1
320,6,-1
321,6,-1
322,6,-1
323,6,-1
324,6,-1
325,6,-1
326,6,-1
327,6,-1
328,6,-1
329,6,-1
330,6,-1
331,6,-1
332,6,-1
333,6,-1
334,6,-1
335,6,-1
336,6,-1
337,6,-1
338,6,-1
339,6,-1
340,6,-1
341,6,-1
342,6,-1
343,6,-1
344,6,-1
345,6,-1
346,6,-1
347,6,-1
348,6,-1
349,6,-1
350,6,-1
351,6,-1
352,6,-1
353,6,-1
354,6,-1
355,6,-1
