frame,result,valence
3,2,-1
4,2,-1
5,2,-1
6,2,-1
7,2,-1
8,2,-1
9,2,-1
10,2,-1
11,2,-1
12,2,-1
13,2,-1
14,2,-1
15,2,-1
16,2,-1
17,2,-1
18,2,-1
19,2,-1
20,2,-1
21,2,-1
22,2,-1
23,2,-1
24,2,-1
25,2,-1
26,2,-1
27,2,-1
28,2,-1
29,2,-1
30,2,-1
31,2,-1
32,2,-1
33,2,-1
34,2,-1
35,2,-1
36,2,-1
37,2,-1
38,2,-1
39,2,-1
40,2,-1
41,2,-1
42,2,-1
43,2,-1
44,2,-1
45,2,-1
46,2,-1
47,2,-1
48,2,-1
49,2,-1
50,2,-1
51,6,-1
52,6,-1
53,6,-1
54,6,-1
55,2,-1
56,2,-1
57,2,-1
58,2,-1
59,2,-1
60,2,-1
61,2,-1
62,2,-1
63,2,-1
64,2,-1
65,2,-1
66,2,-1
67,2,-1
68,2,-1
69,2,-1
70,2,-1
71,2,-1
72,2,-1
73,2,-1
74,2,-1
75,2,-1
76,2,-1
77,2,-1
78,2,-1
79,2,-1
80,2,-1
81,2,-1
82,2,-1
83,2,-1
84,2,-1
85,2,-1
86,2,-1
87,2,-1
88,2,-1
89,2,-1
90,2,-1
91,2,-1
92,2,-1
93,2,-1
94,2,-1
95,2,-1
96,2,-1
97,2,-1
98,2,-1
99,2,-1
100,2,-1
101,2,-1
102,2,-1
103,2,-1
104,2,-1
105,2,-1
106,2,-1
107,2,-1
108,2,-1
109,2,-1
110,2,-1
111,2,-1
112,2,-1
113,2,-1
114,2,-1
115,2,-1
116,2,-1
117,2,-1
118,2,-1
119,2,-1
120,2,-1
121,2,-1
122,2,-1
123,2,-1
124,2,-1
125,2,-1
126,2,-1
127,2,-1
128,2,-1
129,2,-1
130,2,-1
131,2,-1
132,2,-1
133,2,-1
134,2,-1
135,2,-1
136,2,-1
137,2,-1
138,2,-1
139,2,-1
140,2,-1
141,2,-1
142,2,-1
143,2,-1
144,2,-1
145,2,-1
146,2,-1
147,2,-1
148,2,-1
149,2,-1
150,2,-1
151,2,-1
152,2,-1
153,2,-1
154,2,-1
155,2,-1
156,2,-1
157,2,-1
158,2,-1
159,2,-1
160,2,-1
161,2,-1
162,2,-1
163,2,-1
164,2,-1
165,2,-1
166,2,-1
167,2,-1
168,2,-1
169,2,-1
170,2,-1
171,2,-1
172,2,-1
173,2,-1
174,2,-1
175,2,-1
176,2,-1
177,2,-1
178,2,-1
179,2,-1
180,2,-1
181,2,-1
182,2,-1
183,2,-1
184,2,-1
185,2,-1
186,2,-1
187,2,-1
188,2,-1
189,2,-1
190,2,-1
191,2,-1
192,2,-1
193,2,-1
194,2,-1
195,2,-1
196,2,-1
197,2,-1
198,2,-1
199,2,-1
200,2,-1
201,2,-1
202,2,-1
203,2,-1
204,2,-1
205,2,-1
206,2,-1
207,2,-1
208,2,-1
209,2,-1
210,2,-1
211,2,-1
212,2,-1
213,2,-1
214,2,-1
215,2,-1
216,2,-1
217,2,-1
218,2,-1
219,2,-1
220,2,-1
221,2,-1
222,2,-1
223,2,-1
224,2,-1
225,2,-1
226,2,-1
227,2,-1
228,2,-1
229,2,-1
230,2,-1
231,2,-1
232,2,-1
233,2,-1
234,2,-1
235,2,-1
236,2,-1
237,2,-1
238,2,-1
239,2,-1
240,2,-1
241,2,-1
242,2,-1
243,2,-1
244,2,-1
245,2,-1
246,2,-1
247,2,-1
248,2,-1
249,2,-1
250,2,-1
251,2,-1
252,2,-1
253,2,-1
254,2,-1
255,2,-1
256,2,-1
257,2,-1
258,2,-1
259,2,-1
260,2,-1
261,2,-1
262,2,-1
263,2,-1
264,2,-1
265,2,-1
266,2,-1
267,2,-1
268,2,-1
269,2,-1
270,2,-1
271,2,-1
272,2,-1
273,2,-1
274,2,-1
275,2,-1
276,2,-1
277,2,-1
278,2,-1
279,2,-1
280,2,-1
281,2,-1
282,2,-1
283,2,-1
284,2,-1
285,2,-1
286,2,-1
287,2,-1
288,2,-1
289,2,-1
290,2,-1
291,2,-1
292,2,-1
293,2,-1
294,2,-1
295,2,-1
296,2,-1
297,2,-1
298,2,-1
299,2,-1
300,2,-1
301,2,-1
302,2,-1
303,2,-1
304,2,-1
305,2,-1
306,2,-1
307,2,-1
308,2,-1
309,2,-1
310,2,-1
311,2,-1
312,2,-1
313,2,-1
314,2,-1
315,2,-1
316,2,-1
317,2,-1
318,2,-1
319,2,-1
320,2,-1
321,2,-1
322,2,-1
323,2,-1
324,2,-1
325,2,-1
326,2,-1
327,2,-1
328,2,-1
329,2,-1
330,2,-1
331,2,-1
332,2,-1
333,2,-1
334,2,-1
335,2,-1
336,2,-1
337,2,-1
338,2,-1
339,2,-1
340,2,-1
341,2,-1
342,2,-1
343,2,-1
344,2,-1
345,2,-1
346,2,-1
347,2,-1
348,2,-1
349,2,-1
350,2,-1
351,2,-1
352,2,-1
353,2,-1
354,2,-1
355,2,-1
356,2,-1
357,2,-1
358,2,-1
359,2,-1
360,2,-1
361,2,-1
362,2,-1
363,2,-1
364,2,-1
365,2,-1
366,2,-1
367,2,-1
368,2,-1
369,2,-1
370,2,-1
371,2,-1
372,2,-1
373,2,-1
374,2,-1
375,2,-1
376,2,-1
377,2,-1
378,2,-1
379,2,-1
380,2,-1
381,2,-1
382,2,-1
383,2,-1
384,2,-1
385,2,-1
386,2,-1
387,2,-1
388,2,-1
389,2,-1
390,2,-1
391,2,-1
392,2,-1
393,2,-1
394,2,-1
395,2,-1
396,2,-1
397,2,-1
398,2,-1
399,2,-1
400,2,-1
401,2,-1
402,2,-1
403,2,-1
404,2,-1
405,2,-1
406,2,-1
407,2,-1
408,2,-1
409,2,-1
410,2,-1
411,2,-1
412,2,-1
413,2,-1
414,2,-1
415,2,-1
416,2,-1
417,2,-1
418,2,-1
419,2,-1
420,2,-1
421,2,-1
422,2,-1
423,2,-1
424,2,-1
425,2,-1
426,2,-1
427,2,-1
428,2,-1
429,2,-1
430,2,-1
431,2,-1
432,2,-1
433,2,-1
434,2,-1
435,2,-1
436,2,-1
437,2,-1
438,2,-1
439,2,-1
440,2,-1
441,2,-1
442,2,-1
443,2,-1
444,2,-1
445,2,-1
446,2,-1
447,2,-1
448,2,-1
449,2,-1
450,2,-1
451,2,-1
452,2,-1
453,2,-1
454,2,-1
455,2,-1
456,2,-1
457,2,-1
458,2,-1
459,2,-1
460,2,-1
461,2,-1
462,2,-1
463,2,-1
464,2,-1
465,2,-1
466,2,-1
467,2,-1
468,2,-1
469,2,-1
470,2,-1
471,2,-1
472,2,-1
473,2,-1
474,2,-1
475,2,-1
476,2,-1
477,2,-1
478,2,-1
479,2,-1
480,2,-1
481,2,-1
482,2,-1
483,2,-1
484,2,-1
485,2,-1
486,2,-1
487,2,-1
488,2,-1
489,2,-1
490,2,-1
491,2,-1
492,2,-1
493,2,-1
494,2,-1
495,2,-1
496,2,-1
497,2,-1
498,2,-1
499,2,-1
500,2,-1
501,2,-1
502,2,-1
503,2,-1
504,2,-1
505,2,-1
506,2,-1
507,2,-1
508,2,-1
509,2,-1
510,2,-1
511,2,-1
512,2,-1
513,2,-1
514,2,-1
515,2,-1
516,2,-1
517,2,-1
518,2,-1
519,2,-1
520,2,-1
521,2,-1
522,2,-1
523,2,-1
524,2,-1
525,2,-1
526,2,-1
527,2,-1
528,2,-1
529,2,-1
530,2,-1
531,2,-1
532,2,-1
533,2,-1
534,2,-1
535,2,-1
536,2,-1
537,2,-1
538,2,-1
539,2,-1
540,2,-1
541,2,-1
542,2,-1
543,2,-1
544,2,-1
545,2,-1
546,2,-1
547,2,-1
548,2,-1
549,2,-1
550,2,-1
551,2,-1
552,2,-1
553,2,-1
554,2,-1
555,2,-1
556,2,-1
557,2,-1
558,2,-1
559,2,-1
560,2,-1
561,2,-1
562,2,-1
563,2,-1
564,2,-1
565,2,-1
566,2,-1
567,2,-1
568,2,-1
569,2,-1
570,2,-1
571,2,-1
572,2,-1
573,2,-1
574,2,-1
575,2,-1
576,2,-1
577,2,-1
578,2,-1
579,2,-1
580,2,-1
581,2,-1
582,2,-1
583,2,-1
584,2,-1
585,2,-1
586,2,-1
587,2,-1
588,2,-1
589,2,-1
590,2,-1
591,2,-1
592,2,-1
593,2,-1
594,2,-1
595,2,-1
596,2,-1
597,2,-1
598,2,-1
599,2,-1
600,2,-1
601,2,-1
602,2,-1
603,2,-1
604,2,-1
605,2,-1
606,2,-1
607,2,-1
608,2,-1
609,2,-1
610,2,-1
611,2,-1
612,2,-1
613,2,-1
614,2,-1
615,2,-1
616,2,-1
617,2,-1
618,2,-1
619,2,-1
620,2,-1
621,2,-1
622,2,-1
623,2,-1
624,2,-1
625,2,-1
626,2,-1
627,2,-1
628,2,-1
629,2,-1
630,2,-1
631,2,-1
632,2,-1
633,2,-1
634,2,-1
635,2,-1
636,2,-1
637,2,-1
638,2,-1
639,2,-1
640,2,-1
641,2,-1
642,2,-1
643,2,-1
644,2,-1
645,2,-1
646,2,-1
647,2,-1
648,2,-1
649,2,-1
650,2,-1
651,2,-1
652,2,-1
653,2,-1
654,2,-1
655,2,-1
656,2,-1
657,2,-1
658,2,-1
659,2,-1
660,2,-1
661,2,-1
662,2,-1
663,2,-1
664,2,-1
665,2,-1
666,2,-1
667,2,-1
668,2,-1
669,2,-1
670,2,-1
671,2,-1
672,2,-1
673,2,-1
674,2,-1
675,2,-1
676,2,-1
677,2,-1
678,2,-1
679,2,-1
680,2,-1
681,2,-1
682,2,-1
683,2,-1
684,2,-1
685,2,-1
686,2,-1
687,2,-1
688,2,-1
689,2,-1
690,2,-1
691,2,-1
692,2,-1
693,2,-1
694,2,-1
695,2,-1
696,2,-1
697,2,-1
698,2,-1
699,2,-1
700,2,-1
701,2,-1
702,2,-1
703,2,-1
704,2,-1
705,2,-1
706,2,-1
707,2,-1
708,2,-1
709,2,-1
710,2,-1
711,2,-1
712,2,-1
713,2,-1
714,2,-1
715,2,-1
716,2,-1
717,2,-1
718,2,-1
719,2,-1
720,2,-1
721,2,-1
722,2,-1
723,2,-1
724,2,-1
725,2,-1
726,2,-1
727,2,-1
728,2,-1
729,2,-1
730,2,-1
731,2,-1
732,2,-1
733,2,-1
734,2,-1
735,2,-1
736,2,-1
737,2,-1
738,2,-1
