frame,result,valence
3,6,-1
4,2,-1
5,2,-1
6,2,-1
7,2,-1
8,2,-1
9,2,-1
10,2,-1
11,2,-1
12,2,-1
13,2,-1
14,2,-1
15,2,-1
16,0,0
17,0,0
18,2,-1
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,2,-1
28,2,-1
29,2,-1
30,0,0
31,2,-1
32,2,-1
33,2,-1
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,2,-1
45,0,0
46,0,0
47,2,-1
48,0,0
49,0,0
50,0,0
51,2,-1
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,2,-1
62,2,-1
63,2,-1
64,2,-1
65,2,-1
66,2,-1
67,0,0
68,0,0
69,2,-1
70,2,-1
71,0,0
72,2,-1
73,2,-1
74,2,-1
75,2,-1
76,2,-1
77,2,-1
78,2,-1
79,2,-1
80,2,-1
81,2,-1
82,2,-1
83,2,-1
84,2,-1
85,2,-1
86,2,-1
87,2,-1
88,2,-1
89,2,-1
90,2,-1
91,2,-1
92,0,0
93,2,-1
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,2,-1
118,2,-1
119,2,-1
120,2,-1
121,2,-1
122,2,-1
123,2,-1
124,2,-1
125,6,-1
126,2,-1
127,2,-1
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,2,-1
135,2,-1
136,2,-1
137,0,0
138,0,0
139,0,0
140,0,0
141,6,-1
142,6,-1
143,2,-1
144,2,-1
145,2,-1
146,0,0
147,0,0
148,6,-1
149,0,0
150,0,0
151,0,0
152,2,-1
153,2,-1
154,2,-1
155,2,-1
156,2,-1
157,6,-1
158,6,-1
159,6,-1
160,6,-1
161,6,-1
162,2,-1
163,6,-1
164,6,-1
165,6,-1
166,0,0
167,0,0
168,0,0
169,0,0
170,6,-1
171,0,0
172,6,-1
173,2,-1
174,6,-1
175,6,-1
176,2,-1
177,0,0
178,0,0
179,2,-1
180,2,-1
181,2,-1
182,2,-1
183,2,-1
184,2,-1
185,0,0
186,2,-1
187,2,-1
188,2,-1
189,2,-1
190,2,-1
191,2,-1
192,2,-1
193,2,-1
194,6,-1
195,2,-1
196,2,-1
197,2,-1
198,6,-1
199,2,-1
200,2,-1
201,2,-1
202,2,-1
203,6,-1
204,2,-1
205,2,-1
206,2,-1
207,2,-1
208,2,-1
209,2,-1
210,2,-1
211,2,-1
212,2,-1
213,2,-1
214,2,-1
215,2,-1
216,2,-1
217,2,-1
218,2,-1
219,2,-1
220,2,-1
221,2,-1
222,2,-1
223,2,-1
224,2,-1
225,2,-1
226,2,-1
